model,scenario,smote,roc_auc,f1,accuracy,n_features,timestamp,type
LogisticRegression;sem_submodalidade;False;0.8654495559896339;0.8104921507584288;0.791129768205877;67;baseline;2026-04-19 12:28:51.516373
LogisticRegression;sem_submodalidade;True;0.8656584824517387;0.810725761038789;0.7914217922978646;67;baseline;2026-04-19 12:29:02.234087
LogisticRegression;submodalidade_agrupada;False;0.911407339147597;0.847558580966095;0.8299689724402263;97;baseline;2026-04-19 12:29:06.686764
LogisticRegression;submodalidade_agrupada;True;0.9113880483249188;0.8490107488296987;0.8310458112794306;97;baseline;2026-04-19 12:29:15.394672
LogisticRegression;submodalidade_engineered;False;0.8654495559896339;0.8104921507584288;0.791129768205877;67;baseline;2026-04-19 12:29:21.798012
LogisticRegression;submodalidade_engineered;True;0.8656584824517387;0.810725761038789;0.7914217922978646;67;baseline;2026-04-19 12:29:31.322418
KNN;sem_submodalidade;False;0.7686514236192453;0.7617893865973289;0.7057127212995072;67;baseline;2026-04-19 12:48:58.615328
KNN;sem_submodalidade;True;0.7663410655435899;0.7388897776355783;0.7020989231611608;67;baseline;2026-04-19 12:49:19.971986
KNN;submodalidade_agrupada;False;0.8012655793016192;0.7858894155757314;0.7370140536594268;97;baseline;2026-04-19 12:49:40.205390
KNN;submodalidade_agrupada;True;0.7907875575054787;0.7498017125560466;0.7178864756342398;97;baseline;2026-04-19 12:50:08.449102
KNN;submodalidade_engineered;False;0.7686514236192453;0.7617893865973289;0.7057127212995072;67;baseline;2026-04-19 12:50:25.775283
KNN;submodalidade_engineered;True;0.7663410655435899;0.7388897776355783;0.7020989231611608;67;baseline;2026-04-19 12:50:49.056596
XGBoost;sem_submodalidade;False;0.9308590972618168;0.8725867512841861;0.8519620368680416;67;2026-04-19 15:28:24.803468
XGBoost;sem_submodalidade;True;0.9268288048753511;0.8679597519301354;0.8476729330169739;67;2026-04-19 15:28:30.744369
XGBoost;submodalidade_agrupada;False;0.9444059013299739;0.8864051450960803;0.8671837926628947;97;2026-04-19 15:28:33.715887
XGBoost;submodalidade_agrupada;True;0.942459734190377;0.8846486062033765;0.8659426902719475;97;2026-04-19 15:28:40.011706
XGBoost;submodalidade_engineered;False;0.9308590972618168;0.8725867512841861;0.8519620368680416;67;2026-04-19 15:28:42.400405
XGBoost;submodalidade_engineered;True;0.9268288048753511;0.8679597519301354;0.8476729330169739;67;2026-04-19 15:28:47.938035
SVM;sem_submodalidade;False;0.8976719619234295;0.8306334803962374;0.8143274320131411;67;baseline;2026-04-19 18:03:58.576586
SVM;sem_submodalidade;True;0.8978804260149009;0.8310827686108659;0.8148384741741194;67;baseline;2026-04-19 20:12:50.322746
SVM;submodalidade_agrupada;False;0.9264923001113887;0.861068502986195;0.8446066800511042;97;baseline;2026-04-19 22:10:09.328083
SVM;submodalidade_agrupada;True;0.926482134879173;0.8630671653927467;0.8463223215915313;97;baseline;2026-04-20 00:25:56.763491
SVM;submodalidade_engineered;False;0.8976719619234295;0.8306334803962374;0.8143274320131411;67;baseline;2026-04-20 02:17:52.168384
SVM;submodalidade_engineered;True;0.8978804260149009;0.8310827686108659;0.8148384741741194;67;baseline;2026-04-20 04:26:33.396075
SVM;sem_submodalidade;False;0.8638377125812665;0.8042545375611548;0.7860375981018434;67;baseline;2026-04-25 15:22:47.665559
SVM;sem_submodalidade;True;0.8640233779243571;0.8040686118951781;0.7858915860558496;67;baseline;2026-04-25 15:23:06.705674
SVM;submodalidade_agrupada;False;0.9110011673114217;0.8437850683213414;0.8272312465778426;97;baseline;2026-04-25 15:23:27.087839
SVM;submodalidade_agrupada;True;0.9110326998811358;0.8455817014974494;0.8287278700492791;97;baseline;2026-04-25 15:23:55.652112
SVM;submodalidade_engineered;False;0.8638377125812665;0.8042545375611548;0.7860375981018434;67;baseline;2026-04-25 15:24:10.513098
SVM;submodalidade_engineered;True;0.8640233779243571;0.8040686118951781;0.7858915860558496;67;baseline;2026-04-25 15:24:29.548494
