KNN,submodalidade_engineered,TRUE,tuning_cv,7.225.721.900.852.740,,,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'smote': SMOTE(random_state=42)}",2026-06-06 17:19:14.533930
KNN,submodalidade_engineered,TRUE,test,7.220.270.106.790.560,7.035.527.269.797.790,6.641.905.457.200.210,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'smote': SMOTE(random_state=42)}",2026-06-06 17:21:14.074163
KNN,submodalidade_engineered,FALSE,tuning_cv,7.336.245.021.263.240,,,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'smote': 'passthrough'}",2026-06-06 17:21:14.075261
KNN,submodalidade_engineered,FALSE,test,732.194.102.067.758,7.514.062.730.083.930,6.918.780.799.415.950,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform', 'smote': 'passthrough'}",2026-06-06 17:22:53.001336
LogisticRegression,sem_submodalidade,TRUE,tuning_cv,7.763.893.430.981.200,,,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': SMOTE(random_state=42)}",2026-06-06 17:29:14.918273
LogisticRegression,sem_submodalidade,TRUE,test,7.737.076.361.490.190,7.486.400.329.881.210,7.107.318.853.805.430,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': SMOTE(random_state=42)}",2026-06-06 17:29:22.547643
LogisticRegression,sem_submodalidade,FALSE,tuning_cv,775.180.205.654.908,,,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': 'passthrough'}",2026-06-06 17:29:22.548657
LogisticRegression,sem_submodalidade,FALSE,test,7.727.176.770.893.640,7.497.906.627.695.710,7.109.509.034.495.340,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': 'passthrough'}",2026-06-06 17:29:27.464342
LogisticRegression,submodalidade_agrupada,TRUE,tuning_cv,8.330.147.216.197.330,,,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': SMOTE(random_state=42)}",2026-06-06 17:31:52.872164
LogisticRegression,submodalidade_agrupada,TRUE,test,8.315.479.389.693.350,7.880.145.354.301.100,7.529.841.211.899.980,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': SMOTE(random_state=42)}",2026-06-06 17:32:02.647754
LogisticRegression,submodalidade_agrupada,FALSE,tuning_cv,8.332.483.032.224.660,,,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': 'passthrough'}",2026-06-06 17:32:02.648692
LogisticRegression,submodalidade_agrupada,FALSE,test,832.254.954.888.297,7.884.458.654.629.800,7.536.411.753.969.700,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': 'passthrough'}",2026-06-06 17:32:09.857111
LogisticRegression,submodalidade_engineered,TRUE,tuning_cv,7.959.645.039.828.770,,,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': SMOTE(random_state=42)}",2026-06-06 17:34:16.440492
LogisticRegression,submodalidade_engineered,TRUE,test,7.954.776.569.386.430,7.501.010.460.284.860,7.178.864.756.342.390,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': SMOTE(random_state=42)}",2026-06-06 17:34:27.592780
LogisticRegression,submodalidade_engineered,FALSE,tuning_cv,79.616.217.634.051,,,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': 'passthrough'}",2026-06-06 17:34:27.593826
LogisticRegression,submodalidade_engineered,FALSE,test,7.955.881.026.088.920,7.475.159.400.589.050,7.152.400.073.006.020,"{'lr__C': 10, 'lr__solver': 'lbfgs', 'smote': 'passthrough'}",2026-06-06 17:34:34.089694
RandomForest,sem_submodalidade,TRUE,tuning_cv,927.303.860.009.209,,,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': SMOTE(random_state=42)}",2026-06-06 17:53:15.806865
RandomForest,sem_submodalidade,TRUE,test,9.274.062.504.225.700,86.837.863.287.422,8.494.798.320.861.470,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': SMOTE(random_state=42)}",2026-06-06 17:53:42.780557
RandomForest,sem_submodalidade,FALSE,tuning_cv,9.291.772.166.391.160,,,"{'rf__min_samples_leaf': 1, 'rf__min_samples_split': 5, 'rf__n_estimators': 200, 'smote': 'passthrough'}",2026-06-06 17:53:42.785896
